fecha;ganador;inflacion ;pib;desempleo;dinero_tranzado;bonos10y;tasaFED;accion;sector;retorno_sector;precio_cierre;retorno
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;BEN;Financials;0.024065289;6.833333214;0.02258981
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;BF-B;Consumer Staples;0.017898445;4.297777752;0.0223442
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;BG;Materials;0.011184283;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;BIIB;Health Care;0.01916236;3.809027751;0.00904815
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;BK;Financials;0.024065289;14.96967967;0.02807513
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;BKNG;Consumer Discretionary;0.008961497;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;BLDR;Materials;0.011184283;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;BLK;Financials;0.024065289;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;BMY;Health Care;0.01916236;22.1306742;0.02198348
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;BRK-B;Financials;0.024065289;21.33428546;0.01228217
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;BRO;Financials;0.024065289;1.034071247;0.00710264
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;BSX;Health Care;0.01916236;12.50260417;0.0143299
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;BWA;Consumer Discretionary;0.008961497;4.008261681;0.02734345
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;BX;Information Technology;0.032298561;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;BXP;Financials;0.024065289;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;C;Financials;0.024065289;118.758681;0.03051843
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CAG ;Financials;0.024065289;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CAH;Health Care;0.01916236;21.18209902;0.03485469
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CARR;Industrials;0.017772184;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CAT;Industrials;0.017772184;17.28645833;0.01629188
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CB;Financials;0.024065289;16.43750016;0.02911565
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CBOE;Financials;0.024065289;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CBRE;Industrials;0.017772184;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CCI;Telecommunications Services;-0.001140508;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CCL;Consumer Discretionary;0.008961497;14.63020833;0.01986381
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CDNS;Information Technology;0.032298561;16.81944466;0.03772765
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CDW;Information Technology;0.032298561;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CE;Materials;0.011184283;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CEG;Energy;0.018545455;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CF;Materials;0.011184283;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CFG;Financials;0.024065289;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CHD;Consumer Staples;0.017898445;1.752604167;0.01699144
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CHRW;Industrials;0.017772184;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CHTR;Information Technology;0.032298561;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CI;Health Care;0.01916236;13.41203705;0.01474809
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CINF;Financials;0.024065289;17.91458193;0.00878506
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CL;Consumer Staples;0.017898445;10.35286458;0.02218989
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CLX;Consumer Staples;0.017898445;22.98958333;0.02027916
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CMCSA;Consumer Discretionary;0.008961497;2.821180423;-0.00884865
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CME;Financials;0.024065289;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CMG;Consumer Discretionary;0.008961497;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CMI;Industrials;0.017772184;10.37760417;0.01802946
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CMS;Utilities;0.000666667;30.65625;0.01005825
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CNC;Health Care;0.01916236;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CNP;Utilities;0.000666667;18.97628101;0.00047335
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;COF;Financials;0.024065289;10.04513892;0.0275911
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;COO;Health Care;0.01916236;1.479166667;0.08362916
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;COP;Energy;0.018545455;15.40514716;0.03032016
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;COR;Consumer Discretionary;0.008961497;4.6171875;0.03948879
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;COST;Consumer Staples;0.017898445;10.05729167;0.04318097
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CPAY;Information Technology;0.032298561;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CPB;Consumer Staples;0.017898445;34.890625;0.02336664
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CPRT;Consumer Discretionary;0.008961497;0.212131167;-0.07439173
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CPT;Industrials;0.017772184;25.03125;0.020811
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CRL;Health Care;0.01916236;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CRM;Information Technology;0.032298561;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CRWD;Information Technology;0.032298561;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CSCO;Information Technology;0.032298561;6.098958373;0.03857323
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CSGP;Information Technology;0.032298561;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CSX;Industrials;0.017772184;2.626736224;-0.00653457
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CTAS;Industrials;0.017772184;4.473958333;0.02270353
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CTLT;Health Care;0.01916236;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CTRA;Energy;0.018545455;1.344618003;0.003575
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CTSH;Information Technology;0.032298561;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CTVA;Industrials;0.017772184;;
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CVS;Consumer Staples;0.017898445;9.6171875;0.04790387
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CVX;Energy;0.018545455;29.89583333;0.02367882
1996;D;0.0332; 0.0377 ; 0.0545 ; 6,965,496,000,000 ; 0.06453 ; 0.052983 ;CZR;Consumer Discretionary;0.008961497;;
